age,gender,residing_country,education_level,employment_status,relationship_status,cohabiting_adults_no,cohabiting_kids_no,perceived_stress_level,happiness_score
38.0,Male,Costa Rica,PhD / Doctorate,Employed,Married,1.0,0.0,low,7.069399833679199
30.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,high,6.434500217437744
40.0,Male,Guatemala,PhD / Doctorate,Employed,Cohabitating,1.0,2.0,low,6.434500217437744
56.0,Female,Guatemala,University degree,Employed,Married,3.0,0.0,high,6.434500217437744
43.0,Male,Guatemala,University degree,Employed,Married,1.0,3.0,high,6.434500217437744
30.0,Male,Costa Rica,Some University or equivalent,Unemployed,Single,1.0,0.0,low,7.069399833679199
58.0,Female,Guatemala,University degree,Employed,Married,0.0,0.0,low,6.434500217437744
45.0,Female,Guatemala,University degree,Employed,Married,2.0,0.0,low,6.434500217437744
25.0,Female,Guatemala,University degree,Employed,Cohabitating,1.0,0.0,low,6.434500217437744
28.0,Female,Guatemala,University degree,Employed,Dating,3.0,0.0,high,6.434500217437744
20.0,Female,Guatemala,Some University or equivalent,Employed,Dating,2.0,1.0,high,6.434500217437744
19.0,Female,Guatemala,Some University or equivalent,Employed,Dating,2.0,0.0,high,6.434500217437744
39.0,Female,Guatemala,University degree,Employed,Married,4.0,0.0,high,6.434500217437744
38.0,Female,Guatemala,University degree,Unemployed,Married,2.0,2.0,low,6.434500217437744
24.0,Male,Spain,University degree,Others,Single,0.0,0.0,low,6.490699768066406
22.0,Female,Guatemala,Some University or equivalent,Others,Dating,4.0,1.0,high,6.434500217437744
30.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,high,6.434500217437744
20.0,Female,Guatemala,Some University or equivalent,Others,Single,4.0,0.0,high,6.434500217437744
59.0,Male,Guatemala,University degree,Employed,Married,1.0,0.0,low,6.434500217437744
28.0,Male,Guatemala,University degree,Employed,Cohabitating,3.0,1.0,low,6.434500217437744
42.0,Male,Guatemala,PhD / Doctorate,Employed,Cohabitating,2.0,1.0,high,6.434500217437744
22.0,Female,Guatemala,Some University or equivalent,Others,Single,4.0,1.0,high,6.434500217437744
56.0,Male,Guatemala,University degree,Employed,Married,3.0,0.0,low,6.434500217437744
35.0,Male,Guatemala,University degree,Employed,Married,1.0,1.0,low,6.434500217437744
19.0,Male,Portugal,Some University or equivalent,Others,Dating,1.0,1.0,low,5.928999900817871
60.0,Female,Guatemala,University degree,Employed,Separated / divorced,1.0,0.0,low,6.434500217437744
26.0,Female,Guatemala,Some University or equivalent,Others,Single,5.0,1.0,high,6.434500217437744
24.0,Female,Guatemala,University degree,Employed,Single,1.0,0.0,low,6.434500217437744
28.0,Female,Guatemala,University degree,Employed,Cohabitating,1.0,1.0,high,6.434500217437744
60.0,Female,Guatemala,University degree,Others,Separated / divorced,0.0,0.0,low,6.434500217437744
55.0,Female,Brazil,PhD / Doctorate,Employed,Dating,1.0,0.0,high,6.330100059509277
63.0,Male,Guatemala,University degree,Employed,Married,3.0,0.0,low,6.434500217437744
64.0,Female,Guatemala,University degree,Employed,Married,2.0,0.0,low,6.434500217437744
76.0,Male,Guatemala,University degree,Employed,Married,2.0,0.0,low,6.434500217437744
41.0,Female,Guatemala,PhD / Doctorate,Others,Married,2.0,2.0,low,6.434500217437744
26.0,Female,Honduras,Some University or equivalent,Others,Married,2.0,1.0,low,5.9191999435424805
38.0,Female,Guatemala,University degree,Employed,Cohabitating,1.0,1.0,high,6.434500217437744
31.0,Female,Guatemala,University degree,Employed,Married,2.0,2.0,high,6.434500217437744
27.0,Female,Guatemala,University degree,Employed,Dating,2.0,0.0,low,6.434500217437744
32.0,Female,Guatemala,University degree,Employed,Married,2.0,1.0,low,6.434500217437744
